PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
1.8066558291480832,0.035067342109796715,0.6677493444344892,0.7324302494695342,0.05772240429673959,-0.08189885534373378,0.03866123458703089,0.05327838536538932,0.010139724723261885,0.06821183758787924,0.00413351571709263,0.16258655495554772,-0.010254530393019034
-2.849836608481413,-0.28265183933883514,0.45330848199664175,1.477018418724508,0.4337311203467819,-1.244901177469075,-0.4539644197322099,-0.07807837535224918,-0.8876560015917154,0.5839953490244488,-0.11306012012148804,0.4439852439427729,-0.4653920083153807
-0.3050400552462221,-1.253305400434026,-0.6265661351864648,-0.5410879673028298,-0.46035815369768274,-0.14802215055646073,0.013027271189272192,0.09594116886255676,-0.01739836762261686,0.022478366038462046,-0.06500804542217524,0.011092604036320192,0.08421710856456976
-0.2818151480655091,-1.1688411766934725,-0.5734336698084422,-0.5172307472721219,-0.42607187909213373,-0.15277768488883187,-0.05610123176600543,0.09835647584726415,0.03127406700988749,0.01926011892777455,-0.06739874521072128,0.013763302064259315,0.05989817778880191
1.7773087573124327,0.23691115845619484,0.5357528846319509,0.7437281484318632,-0.08507898203832155,-0.03881057736791929,0.09779536736026194,0.077486829767117,-0.04772608728296545,0.06921456305990671,0.005799533510767957,0.1433422332569397,0.007418608930374841
-2.8097747869620506,-0.48292535065981007,0.6597349414732255,1.4654382284877583,0.7073096378435261,-1.3442184033464513,-0.5237504895716034,-0.035148657458597514,-0.7695446053968666,0.5930867615316036,-0.11112882915689051,0.49861407434215876,-0.5156259335731185
1.322996457651981,-1.3200856450599723,0.6135770873798356,-1.6767068776058427,3.081459953547851,-0.888705292793385,-0.2237227266153549,-0.09989405822953555,0.17657086924898602,-0.1901962840328168,-0.014000953810724514,0.1624044395130643,-0.31787674970424207
-0.27045367341421417,-1.248521848529878,-0.5960084293602305,-0.47943075032200877,-0.4651116773781042,-0.1261412983511052,0.02027704758255173,0.11086331815730642,-0.0090674418201146,0.0035971752872474313,-0.06615623321873548,-0.003443677441055316,0.0433155553760071
-0.3496603981782167,-1.2442378919296955,-0.7396264095124546,-0.5701136236446692,-0.5548399839384062,-0.12857564837551505,0.10102847116382353,0.10237048148598236,-0.08794055441304564,0.030186003196340412,-0.06190116751867066,0.0038140191117273033,0.12303637230768118
1.1075325193734886,1.7379403036783894,-0.44061671597233043,-1.9025976552231902,2.37933832896593,-0.8970811151469418,-0.1632222160441374,0.3387699451213709,-0.0008172264878226122,-0.028810742674944625,0.015368213932374836,0.20114657357187007,-0.13753469101089275
